id,payment_status,created_at,score,icc,status,age,gender,income,housing_type,economic_dependents,occupancy_type,level_of_studies,tenure,state,reasson,rate,term,total_debt,amount_to_be_lend,marital_status,1_day_>_delinquencies_in_the_last_6_months,30_days_>_delinquencies_in_the_last_12_months,Account_has_an_important_observation_code,Check_if_the_user_has_other_loan_requests_in_ANALYSIS,Check_if_the_user_has_past_approved_loan_request,Check_if_the_user_has_past_rejected_loan_request,Counting_all_loans,Counting_installment_loans_type_I__M__O__X,Counting_revolvent_loans_type_R,DebtWithoutRE&12mAU___AnualIncome,DebtWithoutRE_AnualIncome_Ratio,Debt_To_Income_ratio_(Digitt_12_months),Debt_To_Income_ratio_(Digitt_15_months),Debt_To_Income_ratio_(Digitt_9_months),Digitt_payment_12_months_VS_average_last_payments,Digitt_payment_15_months_VS_average_last_payments,Digitt_payment_9_months_VS_average_last_payments,Employer_matches_to_Buro_employer,Evaluating_how_long_the_user_has_been_in_buro,Get_accounts_opened_recently.,Inquiries_in_the_last_6_months,Loan_request_Address_matches_to_Buros_Address,Percentage_of_revolving_credit_solved_by_digitt_credit._digitt_credit_all_revolving_credit,Personal_info_matches_to_Buros_personal_info,Revolving_LoC_Usage_ratio,bank_0,name_0,match_balance_address_0,loan_amount_0,rate_0,bank_1,name_1,match_balance_address_1,loan_amount_1,rate_1,bank_2,name_2,match_balance_address_2,loan_amount_2,rate_2,bank_3,name_3,match_balance_address_3,loan_amount_3,rate_3,bank_4,name_4,match_balance_address_4,loan_amount_4,rate_4
7078,,2019-07-11 14:56:52.406926+00,686,4,REJECTED,34,M,25000,PROPIO,1,Negocio propio,Licenciatura,10,Chihuahua,MONTHLY_DEBT_PAYMENT | HIGH_CREDIT_LINE_USAGE,27,12,50000,50623.11,CASADO,0,0,,,,,9,3,6,0.5412,0.5412,0.6312,0.5973,0.6878,0.5125,0.4252,0.6586,1,167.207,0,3,0.693548,0.3992,1,0.8886,BBVA Bancomer,Oro,-1,50623.11,90.24,,,,,,,,,,,,,,,,,,,,
7061,Too early to know,2019-07-10 22:46:00.83787+00,698,8,APPROVED,28,M,40000,RENTADO,2,Negocio propio,Licenciatura,3,Jalisco,,25,12,50000,45133.29,UNION_LIBRE,0,0,AD,,,,8,2,6,0.3028,0.3028,0.3845,0.3657,0.4161,0.6314,0.5225,0.8135,0.0740741,112.088,0,4,0.618557,0.3121,0.9375,0.3881,Invex,Manchester United,0,45133.29,75,,,,,,,,,,,,,,,,,,,,
7060,,2019-07-10 21:50:37.540578+00,675,4,REJECTED,24,M,14000,PROPIO,0,Empleado,Licenciatura,2,México,MONTHLY_DEBT_PAYMENT,28,15,36967,36967.22,SOLTERO,0,0,,,,1,5,0,5,0.886,0.886,1.0723,1.0282,1.1462,1.2194,1.013,1.565,0.0909091,58.9567,1,7,0.716981,0.2484,1,0.8669,American Express,The Platinum Card,0,36967.22,72,,,,,,,,,,,,,,,,,,,,
7055,,2019-07-10 20:55:02.414191+00,679,3,REJECTED,22,M,30000,FAMILIA,0,Negocio propio,Licenciatura,1,Michoacán de Ocampo,OTHER,28,15,40000,40761.73,SOLTERO,0,0,,,,,10,3,7,0.3698,0.3698,0.4284,0.4057,0.4664,1.4578,1.211,1.8709,0.1875,34.1827,4,10,0.834783,0.6038,1,0.8827,Citibanamex,Soriana,-1,40761.73,56.74,,,,,,,,,,,,,,,,,,,,
7054,Too early to know,2019-07-10 20:53:31.641492+00,680,7,APPROVED,29,M,30000,PROPIO,1,Negocio propio,Licenciatura,1,Querétaro,,28,12,26352,26352.14,CASADO,0,0,PR,,,,7,5,2,0.1056,0.1056,0.5535,0.5388,0.578,1.1148,0.9261,1.4307,0.162162,104.822,0,2,0.69697,0.7512,1,0.7626,Citibanamex,Oro,1,26352.14,55.74,,,,,,,,,,,,,,,,,,,,
7045,,2019-07-10 18:35:59.723535+00,671,4,REJECTED,36,M,24000,RENTADO,0,Empleado,Licenciatura,5,Guanajuato,MONTHLY_DEBT_PAYMENT | MANY_OPEN_ACCOUNTS | HIGH_CREDIT_LINE_USAGE,29,15,60000,44282.64,SOLTERO,0,0,,,,1,14,5,9,2.1503,2.444,1.9297,1.8989,1.9813,0.5995,0.4987,0.7685,0.888889,136.819,4,18,0.724138,0.1782,1,0.7128,Banorte,Oro,0,44282.64,59.5,,,,,,,,,,,,,,,,,,,,
7033,,2019-07-10 14:56:32.676015+00,662,4,REJECTED,25,M,14000,FAMILIA,0,Empleado,Licenciatura,0,Nuevo León,MONTHLY_DEBT_PAYMENT | SMALL_PREVIUS_PAYMENTS | MANY_OPEN_ACCOUNTS,30,15,55500,55461.42,SOLTERO,0,0,,,,,12,1,11,1.3408,1.3408,1.6466,1.5805,1.7575,2.5962,2.162,3.3234,0.916667,62.9805,1,8,0.703297,0.2462,1,0.8135,Citibanamex,Oro,-1,55461.42,70.92,,,,,,,,,,,,,,,,,,,,
7025,,2019-07-10 07:17:27.06186+00,637,3,REJECTED,30,M,15000,FAMILIA,0,Negocio propio,Preparatoria,3,Nayarit,BAD_CREDIT_HISTORY | DEFAULTED_CREDIT_CARD,34,12,20000,14738.75,SOLTERO,12,,LO,,,,5,2,3,0.3019,0.3019,0.3538,0.3374,0.3812,0.3347,0.2801,0.4263,0.717949,48.1321,1,8,0.88,0.6642,1,0.8218,BanCoppel,BanCoppel Visa,1,14738.75,63.5,,,,,,,,,,,,,,,,,,,,
7014,,2019-07-10 02:56:59.044631+00,694,4,APPROVED,45,M,25000,PROPIO,0,Empleado,Preparatoria,3,Zacatecas,,26,12,20900,11615.75,SOLTERO,0,0,,,,,6,4,2,0.3312,0.3312,0.2083,0.2005,0.2213,0.2703,0.224,0.3478,1,218.464,2,8,0.591304,0.5345,1,1.0399,BBVA Bancomer,Vive,1,11615.75,67.69,,,,,,,,,,,,,,,,,,,,
7010,,2019-07-10 01:45:21.958138+00,700,5,REJECTED,31,M,16000,FAMILIA,0,Empleado,Preparatoria,0,Ciudad de México,MONTHLY_DEBT_PAYMENT | MANY_OPEN_ACCOUNTS | HIGH_CREDIT_LINE_USAGE,25,12,36000,21023.6,SOLTERO,0,0,,,,,10,5,5,1.1425,1.1425,0.9519,0.9299,0.9886,0.2096,0.1735,0.27,1,75.1569,1,6,0.560748,0.181,1,0.8761,HSBC,Clásica,1,21023.6,67.56,,,,,,,,,,,,,,,,,,,,
